CVE_id,Description,cwe_value,cvss,severity,publishedDate,lastModifiedDate,version,cwe_cd,cwe_name,year
CVE-2020-15396,"In HylaFAX+ through 7.0.2 and HylaFAX Enterprise, the faxsetup utility calls chown on files in user-owned directories. By winning a race, a local attacker could use this to escalate his privileges to root.",CWE-362,7.8,HIGH,2020-06-30T12:15Z,2022-04-28T18:57Z,3.1,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),2020
CVE-2020-15393,"In the Linux kernel 4.4 through 5.7.6, usbtest_disconnect in drivers/usb/misc/usbtest.c has a memory leak, aka CID-28ebeb8db770.",CWE-401,5.5,MEDIUM,2020-06-29T22:15Z,2022-04-28T18:56Z,3.1,401,Missing Release of Memory after Effective Lifetime,2020
CVE-2022-22435,IBM Maximo Asset Management 7.6.1.2 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,CWE-79,5.4,MEDIUM,2022-04-21T17:15Z,2022-04-28T18:56Z,3.1,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2022
CVE-2022-27179,"A malicious actor having access to the exported configuration file may obtain the stored credentials and thereby gain access to the protected resource. If the same passwords were used for other resources, further such assets may be compromised.",CWE-522,6.5,MEDIUM,2022-04-20T16:15Z,2022-04-28T18:56Z,3.1,522, Insufficiently Protected Credentials,2022
CVE-2022-22436,IBM Maximo Asset Management 7.6.1.2 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session. IBM X-Force ID: 224164.,CWE-79,5.4,MEDIUM,2022-04-21T17:15Z,2022-04-28T18:50Z,3.1,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2022
CVE-2022-0272,Improper Restriction of XML External Entity Reference in GitHub repository detekt/detekt prior to 1.20.0.,CWE-611,9.8,CRITICAL,2022-04-21T17:15Z,2022-04-28T18:40Z,3.1,611, Improper Restriction of XML External Entity Reference,2022
CVE-2020-36181,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.cpdsadapter.DriverAdapterCPDS.",CWE-502,8.1,HIGH,2021-01-06T23:15Z,2022-04-28T18:34Z,3.1,502, Deserialization of Untrusted Data,2021
CVE-2020-35728,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to com.oracle.wls.shaded.org.apache.xalan.lib.sql.JNDIConnectionPool (aka embedded Xalan in org.glassfish.web/javax.servlet.jsp.jstl).",CWE-502,8.1,HIGH,2020-12-27T05:15Z,2022-04-28T18:34Z,3.1,502, Deserialization of Untrusted Data,2020
CVE-2020-35491,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.datasources.SharedPoolDataSource.",CWE-502,8.1,HIGH,2020-12-17T19:15Z,2022-04-28T18:34Z,3.1,502, Deserialization of Untrusted Data,2020
CVE-2020-36184,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource.",CWE-502,8.1,HIGH,2021-01-06T23:15Z,2022-04-28T18:34Z,3.1,502, Deserialization of Untrusted Data,2021
CVE-2020-36185,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.SharedPoolDataSource.",CWE-502,8.1,HIGH,2021-01-06T23:15Z,2022-04-28T18:34Z,3.1,502, Deserialization of Untrusted Data,2021
CVE-2022-24871,"Shopware is an open commerce platform based on Symfony Framework and Vue. In affected versions an attacker can abuse the Admin SDK functionality on the server to read or update internal resources. Users are advised to update to the current version 6.4.10.1. For older versions of 6.1, 6.2, and 6.3, corresponding security measures are also available via a plugin. There are no known workarounds for this issue.",CWE-918,5.5,MEDIUM,2022-04-20T19:15Z,2022-04-28T18:34Z,3.1,918, Server-Side Request Forgery (SSRF),2022
CVE-2020-0432,"In skb_to_mamac of networking.c, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-143560807",CWE-787,7.8,HIGH,2020-09-17T19:15Z,2022-04-28T18:33Z,3.1,787, Out-of-bounds Write,2020
CVE-2019-20919,"An issue was discovered in the DBI module before 1.643 for Perl. The hv_fetch() documentation requires checking for NULL and the code does that. But, shortly thereafter, it calls SvOK(profile), causing a NULL pointer dereference.",CWE-476,4.7,MEDIUM,2020-09-17T18:15Z,2022-04-28T18:33Z,3.1,476, NULL Pointer Dereference,2020
CVE-2020-11698,An issue was discovered in Titan SpamTitan 7.07. Improper input sanitization of the parameter community on the page snmp-x.php would allow a remote attacker to inject commands into the file snmpd.conf that would allow executing commands on the target server.,CWE-77,9.8,CRITICAL,2020-09-17T17:15Z,2022-04-28T18:33Z,3.1,77, Improper Neutralization of Special Elements used in a Command ('Command Injection'),2020
CVE-2020-25285,"A race condition between hugetlb sysctl handlers in mm/hugetlb.c in the Linux kernel before 5.8.8 could be used by local attackers to corrupt memory, cause a NULL pointer dereference, or possibly have unspecified other impact, aka CID-17743798d812.",CWE-362,6.4,MEDIUM,2020-09-13T18:15Z,2022-04-28T18:32Z,3.1,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),2020
CVE-2020-25284,"The rbd block device driver in drivers/block/rbd.c in the Linux kernel through 5.8.9 used incomplete permission checking for access to rbd devices, which could be leveraged by local attackers to map or unmap rbd block devices, aka CID-f44d04e696fe.",CWE-863,4.1,MEDIUM,2020-09-13T18:15Z,2022-04-28T18:32Z,3.1,863, Incorrect Authorization,2020
CVE-2020-16875,"A remote code execution vulnerability exists in Microsoft Exchange server due to improper validation of cmdlet arguments.An attacker who successfully exploited the vulnerability could run arbitrary code in the context of the System user, aka 'Microsoft Exchange Server Remote Code Execution Vulnerability'.",CWE-74,7.2,HIGH,2020-09-11T17:15Z,2022-04-28T18:32Z,3.1,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),2020
CVE-2020-25219,url::recvline in url.cpp in libproxy 0.4.x through 0.4.15 allows a remote HTTP server to trigger uncontrolled recursion via a response composed of an infinite stream that lacks a newline character. This leads to stack exhaustion.,CWE-674,7.5,HIGH,2020-09-09T21:15Z,2022-04-28T18:32Z,3.1,674, Uncontrolled Recursion,2020
CVE-2020-25212,"A TOCTOU mismatch in the NFS client code in the Linux kernel before 5.8.3 could be used by local attackers to corrupt memory or possibly have unspecified other impact because a size check is in fs/nfs/nfs4proc.c instead of fs/nfs/nfs4xdr.c, aka CID-b4487b935452.",CWE-787,7.0,HIGH,2020-09-09T16:15Z,2022-04-28T18:32Z,3.1,787, Out-of-bounds Write,2020
CVE-2020-11117,"u'In the lbd service, an external user can issue a specially crafted debug command to overwrite arbitrary files with arbitrary content resulting in remote code execution.' in Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Wired Infrastructure and Networking in IPQ4019, IPQ6018, IPQ8064, IPQ8074, QCA4531, QCA9531, QCA9980",CWE-77,9.8,CRITICAL,2020-09-08T10:15Z,2022-04-28T18:31Z,3.1,77, Improper Neutralization of Special Elements used in a Command ('Command Injection'),2020
CVE-2020-36186,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.PerUserPoolDataSource.",CWE-502,8.1,HIGH,2021-01-06T23:15Z,2022-04-28T18:30Z,3.1,502, Deserialization of Untrusted Data,2021
CVE-2020-36187,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.SharedPoolDataSource.",CWE-502,8.1,HIGH,2021-01-06T23:15Z,2022-04-28T18:28Z,3.1,502, Deserialization of Untrusted Data,2021
CVE-2020-24556,"A vulnerability in Trend Micro Apex One, OfficeScan XG SP1, Worry-Free Business Security 10 SP1 and Worry-Free Business Security Services on Microsoft Windows may allow an attacker to create a hard link to any file on the system, which then could be manipulated to gain a privilege escalation and code execution. An attacker must first obtain the ability to execute low-privileged code on the target system in order to exploit this vulnerability. Please note that version 1909 (OS Build 18363.719) of Microsoft Windows 10 mitigates hard links, but previous versions are affected.",CWE-59,7.8,HIGH,2020-09-01T19:15Z,2022-04-28T18:28Z,3.1,59, Improper Link Resolution Before File Access ('Link Following'),2020
CVE-2020-25032,An issue was discovered in Flask-CORS (aka CORS Middleware for Flask) before 3.0.9. It allows ../ directory traversal to access private resources because resource matching does not ensure that pathnames are in a canonical format.,CWE-22,7.5,HIGH,2020-08-31T04:15Z,2022-04-28T18:28Z,3.1,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2020
CVE-2019-19499,"Grafana <= 6.4.3 has an Arbitrary File Read vulnerability, which could be exploited by an authenticated attacker that has privileges to modify the data source configurations.",CWE-89,6.5,MEDIUM,2020-08-28T15:15Z,2022-04-28T18:28Z,3.1,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2020
CVE-2020-16250,"HashiCorp Vault and Vault Enterprise versions 0.7.1 and newer, when configured with the AWS IAM auth method, may be vulnerable to authentication bypass. Fixed in 1.2.5, 1.3.8, 1.4.4, and 1.5.1..",CWE-345,9.8,CRITICAL,2020-08-26T15:15Z,2022-04-28T18:27Z,3.1,345, Insufficient Verification of Data Authenticity,2020
CVE-2020-24622,"In Sonatype Nexus Repository 3.26.1, an S3 secret key can be exposed by an admin user.",CWE-522,4.9,MEDIUM,2020-08-25T19:15Z,2022-04-28T18:27Z,3.1,522, Insufficiently Protected Credentials,2020
CVE-2020-24614,"Fossil before 2.10.2, 2.11.x before 2.11.2, and 2.12.x before 2.12.1 allows remote authenticated users to execute arbitrary code. An attacker must have check-in privileges on the repository.",CWE-862,8.8,HIGH,2020-08-25T14:15Z,2022-04-28T18:27Z,3.1,862, Missing Authorization,2020
CVE-2020-8623,"In BIND 9.10.0 -> 9.11.21, 9.12.0 -> 9.16.5, 9.17.0 -> 9.17.3, also affects 9.10.5-S1 -> 9.11.21-S1 of the BIND 9 Supported Preview Edition, An attacker that can reach a vulnerable system with a specially crafted query packet can trigger a crash. To be vulnerable, the system must: * be running BIND that was built with ""--enable-native-pkcs11"" * be signing one or more zones with an RSA key * be able to receive queries from a possible attacker",CWE-617,7.5,HIGH,2020-08-21T21:15Z,2022-04-28T18:27Z,3.1,617, Reachable Assertion,2020
CVE-2020-8621,"In BIND 9.14.0 -> 9.16.5, 9.17.0 -> 9.17.3, If a server is configured with both QNAME minimization and 'forward first' then an attacker who can send queries to it may be able to trigger the condition that will cause the server to crash. Servers that 'forward only' are not affected.",CWE-617,7.5,HIGH,2020-08-21T21:15Z,2022-04-28T18:27Z,3.1,617, Reachable Assertion,2020
CVE-2020-28037,"is_blog_installed in wp-includes/functions.php in WordPress before 5.5.2 improperly determines whether WordPress is already installed, which might allow an attacker to perform a new installation, leading to remote code execution (as well as a denial of service for the old installation).",CWE-754,9.8,CRITICAL,2020-11-02T21:15Z,2022-04-28T18:24Z,3.1,754, Improper Check for Unusual or Exceptional Conditions,2020
CVE-2020-28036,wp-includes/class-wp-xmlrpc-server.php in WordPress before 5.5.2 allows attackers to gain privileges by using XML-RPC to comment on a post.,CWE-862,9.8,CRITICAL,2020-11-02T21:15Z,2022-04-28T18:24Z,3.1,862, Missing Authorization,2020
CVE-2020-24848,"FruityWifi through 2.4 has an unsafe Sudo configuration [(ALL : ALL) NOPASSWD: ALL]. This allows an attacker to perform a system-level (root) local privilege escalation, allowing an attacker to gain complete persistent access to the local system.",CWE-287,7.8,HIGH,2020-10-23T19:15Z,2022-04-28T18:24Z,3.1,287, Improper Authentication,2020
CVE-2020-15683,"Mozilla developers and community members reported memory safety bugs present in Firefox 81 and Firefox ESR 78.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 78.4, Firefox < 82, and Thunderbird < 78.4.",CWE-787,9.8,CRITICAL,2020-10-22T21:15Z,2022-04-28T18:24Z,3.1,787, Out-of-bounds Write,2020
CVE-2020-27638,receive.c in fastd before v21 allows denial of service (assertion failure) when receiving packets with an invalid type code.,CWE-617,7.5,HIGH,2020-10-22T13:15Z,2022-04-28T18:23Z,3.1,617, Reachable Assertion,2020
CVE-2020-0423,"In binder_release_work of binder.c, there is a possible use-after-free due to improper locking. This could lead to local escalation of privilege in the kernel with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-161151868References: N/A",CWE-416,7.8,HIGH,2020-10-14T14:15Z,2022-04-28T18:23Z,3.1,416, Use After Free,2020
CVE-2020-26947,"monero-wallet-gui in Monero GUI before 0.17.1.0 includes the . directory in an embedded RPATH (with a preference ahead of /usr/lib), which allows local users to gain privileges via a Trojan horse library in the current working directory.",CWE-427,7.8,HIGH,2020-10-10T21:15Z,2022-04-28T18:23Z,3.1,427, Uncontrolled Search Path Element,2020
CVE-2020-9491,"In Apache NiFi 1.2.0 to 1.11.4, the NiFi UI and API were protected by mandating TLS v1.2, as well as listening connections established by processors like ListenHTTP, HandleHttpRequest, etc. However intracluster communication such as cluster request replication, Site-to-Site, and load balanced queues continued to support TLS v1.0 or v1.1.",CWE-327,7.5,HIGH,2020-10-01T20:15Z,2022-04-28T18:22Z,3.1,327, Use of a Broken or Risky Cryptographic Algorithm,2020
CVE-2020-15673,"Mozilla developers reported memory safety bugs present in Firefox 80 and Firefox ESR 78.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 81, Thunderbird < 78.3, and Firefox ESR < 78.3.",CWE-416,8.8,HIGH,2020-10-01T19:15Z,2022-04-28T18:22Z,3.1,416, Use After Free,2020
CVE-2021-43481,An SQL Injection vulnerability exists in Webtareas 2.4p3 and earlier via the $uq HTTP POST parameter in editapprovalstage.php.,CWE-89,9.8,CRITICAL,2022-04-20T20:15Z,2022-04-28T18:21Z,3.1,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2022
CVE-2020-24365,"An issue was discovered on Gemtek WRTM-127ACN 01.01.02.141 and WRTM-127x9 01.01.02.127 devices. The Monitor Diagnostic network page allows an authenticated attacker to execute a command directly on the target machine. Commands are executed as the root user (uid 0). (Even if a login is required, most routers are left with default credentials.)",CWE-78,8.8,HIGH,2020-09-24T15:15Z,2022-04-28T18:21Z,3.1,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2020
CVE-2020-16148,The ping page of the administration panel in Telmat AccessLog <= 6.0 (TAL_20180415) allows an attacker to get root shell access via authenticated code injection over the network.,CWE-78,7.2,HIGH,2020-09-24T14:15Z,2022-04-28T18:21Z,3.1,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2020
CVE-2020-16147,The login page in Telmat AccessLog <= 6.0 (TAL_20180415) allows an attacker to get root shell access via Unauthenticated code injection over the network.,CWE-78,9.8,CRITICAL,2020-09-24T14:15Z,2022-04-28T18:19Z,3.1,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2020
CVE-2020-25603,"An issue was discovered in Xen through 4.14.x. There are missing memory barriers when accessing/allocating an event channel. Event channels control structures can be accessed lockless as long as the port is considered to be valid. Such a sequence is missing an appropriate memory barrier (e.g., smp_*mb()) to prevent both the compiler and CPU from re-ordering access. A malicious guest may be able to cause a hypervisor crash resulting in a Denial of Service (DoS). Information leak and privilege escalation cannot be excluded. Systems running all versions of Xen are affected. Whether a system is vulnerable will depend on the CPU and compiler used to build Xen. For all systems, the presence and the scope of the vulnerability depend on the precise re-ordering performed by the compiler used to build Xen. We have not been able to survey compilers; consequently we cannot say which compiler(s) might produce vulnerable code (with which code generation options). GCC documentation clearly suggests that re-ordering is possible. Arm systems will also be vulnerable if the CPU is able to re-order memory access. Please consult your CPU vendor. x86 systems are only vulnerable if a compiler performs re-ordering.",CWE-670,7.8,HIGH,2020-09-23T22:15Z,2022-04-28T18:19Z,3.1,670, Always-Incorrect Control Flow Implementation,2020
CVE-2020-25600,"An issue was discovered in Xen through 4.14.x. Out of bounds event channels are available to 32-bit x86 domains. The so called 2-level event channel model imposes different limits on the number of usable event channels for 32-bit x86 domains vs 64-bit or Arm (either bitness) ones. 32-bit x86 domains can use only 1023 channels, due to limited space in their shared (between guest and Xen) information structure, whereas all other domains can use up to 4095 in this model. The recording of the respective limit during domain initialization, however, has occurred at a time where domains are still deemed to be 64-bit ones, prior to actually honoring respective domain properties. At the point domains get recognized as 32-bit ones, the limit didn't get updated accordingly. Due to this misbehavior in Xen, 32-bit domains (including Domain 0) servicing other domains may observe event channel allocations to succeed when they should really fail. Subsequent use of such event channels would then possibly lead to corruption of other parts of the shared info structure. An unprivileged guest may cause another domain, in particular Domain 0, to misbehave. This may lead to a Denial of Service (DoS) for the entire system. All Xen versions from 4.4 onwards are vulnerable. Xen versions 4.3 and earlier are not vulnerable. Only x86 32-bit domains servicing other domains are vulnerable. Arm systems, as well as x86 64-bit domains, are not vulnerable.",CWE-787,5.5,MEDIUM,2020-09-23T22:15Z,2022-04-28T18:19Z,3.1,787, Out-of-bounds Write,2020
CVE-2020-25599,"An issue was discovered in Xen through 4.14.x. There are evtchn_reset() race conditions. Uses of EVTCHNOP_reset (potentially by a guest on itself) or XEN_DOMCTL_soft_reset (by itself covered by XSA-77) can lead to the violation of various internal assumptions. This may lead to out of bounds memory accesses or triggering of bug checks. In particular, x86 PV guests may be able to elevate their privilege to that of the host. Host and guest crashes are also possible, leading to a Denial of Service (DoS). Information leaks cannot be ruled out. All Xen versions from 4.5 onwards are vulnerable. Xen versions 4.4 and earlier are not vulnerable.",CWE-119,7.0,HIGH,2020-09-23T22:15Z,2022-04-28T18:19Z,3.1,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,2020
CVE-2020-6558,Insufficient policy enforcement in iOSWeb in Google Chrome on iOS prior to 85.0.4183.83 allowed a remote attacker to bypass navigation restrictions via a crafted HTML page.,CWE-79,6.5,MEDIUM,2020-09-21T20:15Z,2022-04-28T18:19Z,3.1,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2020
CVE-2020-0293,"In Java network APIs, there is possible access to sensitive network state due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation in Android versions: Android-11, Android ID: A-141455849",CWE-862,5.5,MEDIUM,2020-09-17T21:15Z,2022-04-28T18:19Z,3.1,862, Missing Authorization,2020
CVE-2022-26133,"SharedSecretClusterAuthenticator in Atlassian Bitbucket Data Center versions 5.14.0 and later before 7.6.14, 7.7.0 and later prior to 7.17.6, 7.18.0 and later prior to 7.18.4, 7.19.0 and later prior to 7.19.4, and 7.20.0 allow a remote, unauthenticated attacker to execute arbitrary code via Java deserialization.",CWE-502,9.8,CRITICAL,2022-04-20T19:15Z,2022-04-28T17:50Z,3.1,502, Deserialization of Untrusted Data,2022
CVE-2022-1022,Cross-site Scripting (XSS) - Stored in GitHub repository chatwoot/chatwoot prior to 2.5.0.,CWE-79,5.4,MEDIUM,2022-04-21T15:15Z,2022-04-28T17:38Z,3.1,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2022
CVE-2022-1420,Use of Out-of-range Pointer Offset in GitHub repository vim/vim prior to 8.2.4774.,CWE-119,5.5,MEDIUM,2022-04-21T11:15Z,2022-04-28T17:29Z,3.1,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,2022
CVE-2022-29413,Cross-Site Request Forgery (CSRF) leading to Stored Cross-Site Scripting (XSS) in Mufeng's Hermit ????? plugin <= 3.1.6 on WordPress via &title parameter.,CWE-352,,,2022-04-28T17:15Z,2022-04-28T17:15Z,,352, Cross-Site Request Forgery (CSRF),2022
CVE-2022-29412,"Multiple Cross-Site Request Forgery (CSRF) vulnerabilities in Hermit ????? plugin <= 3.1.6 on WordPress allow attackers to delete cache, delete a source, create source.",CWE-352,,,2022-04-28T17:15Z,2022-04-28T17:15Z,,352, Cross-Site Request Forgery (CSRF),2022
CVE-2022-29410,Authenticated SQL Injection (SQLi) vulnerability in Mufeng's Hermit ????? plugin <= 3.1.6 on WordPress allows attackers with Subscriber or higher user roles to execute SQLi attack via (&ids).,CWE-89,,,2022-04-28T17:15Z,2022-04-28T17:15Z,,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2022
CVE-2021-44419,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. GetMdAlarm param is not object. An attacker can send an HTTP request to trigger this vulnerability.,CWE-20,6.5,MEDIUM,2022-01-28T22:15Z,2022-04-28T17:15Z,3.1,20, Improper Input Validation,2022
CVE-2021-44418,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. GetMdState param is not object. An attacker can send an HTTP request to trigger this vulnerability.,CWE-20,6.5,MEDIUM,2022-01-28T22:15Z,2022-04-28T17:15Z,3.1,20, Improper Input Validation,2022
CVE-2021-44417,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. GetAlarm param is not object. An attacker can send an HTTP request to trigger this vulnerability.,CWE-20,6.5,MEDIUM,2022-01-28T22:15Z,2022-04-28T17:15Z,3.1,20, Improper Input Validation,2022
CVE-2021-44416,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. Disconnect param is not object. An attacker can send an HTTP request to trigger this vulnerability.,CWE-20,6.5,MEDIUM,2022-01-28T22:15Z,2022-04-28T17:15Z,3.1,20, Improper Input Validation,2022
